career,profile
Frontend Developer,"Frontend Developer
Persyaratan: Pengalaman dan semangat dalam teknologi web (not for fresh graduate) Menguasai dalam bahasa pemrograman Front-End ( HTML, CSS,Javascript,...
nan"
Frontend Developer,"Frontend Developer
Responsibilities  Participate in the entire application lifecycle, focusing on coding and debugging Write clean code to develop functional mobile...
nan"
Frontend Developer,"Frontend Developer
We are currently looking for a Front-End Developer with the following qualifications.  Skill : Candidate must possess at least Bachelor's Degree in...
nan"
Frontend Developer,"Frontend Developer
Front End Responsibilities: Build a website using ReactJS framework Create frontend application implementation based on Business Process documentation...
nan"
Frontend Developer,"Frontend Developer
Qualification :  Candidate must process at least a Bachelor's Degree in Information technology  At least 1-3 years of working experience in the...
nan"
Frontend Developer,"Frontend Developer
Job Description Identifies and evaluates new technologies for alignment with technology roadmap and business value; creates plans for integration and...
nan"
Frontend Developer,"Frontend Developer
Job DescriptionDevelop client-side logic, frontend interface for Web App using Angular 4+.Minimum QualificationsDataOn affiliates with Qual Innotek...
nan"
Fullstack Developer,"Fullstack Developer
Kitameraki LimitedKitameraki is a  Technology &amp; Operations consulting firm for companies across Southeast Asia.We are Passionate Consultants &amp;...
nan"
Fullstack Developer,"Fullstack Developer
BackgroundThe Regional Knowledge Centre of Marine Plastic Debris, hereafter referred to as the RKC-MPD, was established in October 2019 as part of the...
nan"
Fullstack Developer,"Fullstack Developer
Requirements: Bachelor of Computer Science/Information System Minimum has one year of working experince Minimum 20 years old and maximum 30 years old...
nan"
Fullstack Developer,"Fullstack Developer
RESPONSIBILITIES  Collaborate with cross-functional teams to define, design, and ship new server features. Design and implement front facing web...
nan"
Fullstack Developer,"Fullstack Developer
DescriptionAt Majoo, as a Full Stack Engineer, you will fully end-to-end developing (design, implementation, automated testing, and deploying) and...
Medical/ Health Insurance,Growth Career,Development Program"
Fullstack Developer,"Fullstack Developer
Requirements: Extensive knowledge and understanding of Javascript; A strong knowledge of Java Script ES6, HTML5 and CSS3, Open Source frameworks;...
This is a place where you can grow and practice your skill,Find you passion with us"
Fullstack Developer,"Fullstack Developer
Job Responsibilities Translate user requirements into the overall architecture and implementation of new systems Write backend code and optimize front...
nan"
Fullstack Developer,"Fullstack Developer
Join us, we are welcome your skillsJob Description Develop WEB Aplication internal Ensure that the aplication and stackeholder is used by the user...
nan"
Fullstack Developer,"Fullstack Developer
We are currently looking for a Fullstack Developer with the following qualifications :  Candidate must possess at least Bachelor's Degree in Computer...
nan"
Fullstack Developer,"Fullstack Developer
SigmaTech is looking for joining our team with The Job Desk, Qualifications &amp; Compensation Benefit as below :Requirements: Required Skill(s): PHP,...
Great Working Environment,Great Working Environment,Great Working Environment"
Fullstack Developer,"Fullstack Developer
Kami sedang mencari seorang Developer FULL STACK. Anda akan bekerja bersama developer lain, berkolaborasi di berbagai lapisan infrastruktur untuk tim...
nan"
Fullstack Developer,"Fullstack Developer
Kualifikasi Memiliki kemampuan komunikasi yang baik Usia Maksimal 23 fresh graduate Kandidat harus memiliki setidaknya SMA,Diploma, Gelar Sarjana di...
Pekerjaan selesai tepat waktu akan mendapatkan bonus yang sesuai,Anda memiliki prestasi ajukan untuk review ulang hasil kerja anda,Suasana santai & tidak ada politik di perusahaan"
Fullstack Developer,"Fullstack Developer
Requirement Candidate must possess at least a Bachelor's Degree, majoring IT, computer engineering, information systems Mastering programming...
nan"
Fullstack Developer,"Fullstack Developer
We are looking for an experienced Full Stack Developer to help us keep growing. The responsibilities include building and upgrading our...
Young and energetic team, with attractive package,Employee's Growth,Provide Medical, BPJS TK, Tax PPh 21 by Company"
Fullstack Developer,"Fullstack Developer
We are Niagahoster, a tech company based in Yogyakarta that provides web-hosting services. To make Niagahoster web and products are packed with...
Remote Working,Flexible Working Hours,Free Learning Programs"
Fullstack Developer,"Fullstack Developer
Responsibilities:  Design and develop web applications from the existing framework Develop, test and support technical solutions across a full-stack...
Full Time Remote,5 days work week,THR"
Fullstack Developer,"Fullstack Developer
Deskripsi Pekerjaan Membangun sistem mulai dari awal, bekerja bersama System Analyst dan UI/UX Designer Membuat halaman frontend dan backend sekaligus...
Jenjang karir dan kesempatan berkembang,Tantangan di setiap proyek,Lingkungan kerja santai"
Fullstack Developer,"Fullstack Developer
Ringkasan Pekerjaan : Bagian dari Team Pengembang Aplikasi yang memenuhi syarat untuk merancang dan membuat kode program serta aplikasi secara...
nan"
Fullstack Developer,"Fullstack Developer
Tugas dan Tanggung Jawab Bertanggung jawab untuk menjaga dan mengembangkan semua bagian dari sistem pelayanan Merencanakan dan melaksanakan struktur...
Bonus,BPJS Kesehatan"
Fullstack Developer,"Fullstack Developer
Who we areSemaai co-founders are ex Entrepreneurs, Goldman Sachs, World Bank, Schlumberger, with 30 years of rich experience in the technology,...
nan"
Marketing,"Marketing
• Melakukan negosiasi dan menjalin kesepakatan dengan pembeli• Bertanggung jawab dalam pengaturan pembuatan produk berkualitas, mulai dari desain,...
nan"
Marketing,"Marketing
Requirements: Candidate must possess at least Bachelor's Degree in any field. Required language(s): English. Mandarin will be advantage At least...
nan"
Marketing,"Marketing
Kualifikasi: S1 bisnis/management/atau setara Kemampuan yang harus dimiliki: teliti, ulet, kreatif, cepat tanggap, menguasai dunia marketing, expert...
Mendapatkan fasilitas kerja yg sesuai dengan apa yg dibutuhkan,tunjangan + bonus yg sesuai"
Marketing,"Marketing
Kualifikasi: Pengalaman minimal 1 tahun Punya kendaraan/ SIM Memiliki pengalaman sebagai sales untuk market perusahaan (B2B) Memiliki inisiatif...
nan"
Marketing,"Marketing
A well established Overseas Study Consultant &amp; English Course invites you who are highly motivated, hard working, and serious applicants to fill...
nan"
Marketing,"Marketing
Deskripsi PekerjaanTangung jawab:Melakukan proses pemasaran produk pembiayaan kredit modal kerjaMelakukan proses survey dan analisa pinjamanMembuat...
nan"
Marketing,"Marketing
Persyaratan : Pendidikan minimal D3 Memiliki pengetahuan yang baik tentang pengembangan produk Kosmetik Memiliki pengetahuan yang baik tentang system...
GAJI,KOMISI"
Marketing,"Marketing
Kualifikasi: Berusia maksimal 35 tahun Memiliki pengalaman sebagai sales produk Mampu mengendarai dan memiliki motor Pribadi Berdomisili di Jakarta...
nan"
Marketing,"Marketing
Deskripsi PekerjaanKami adalah perusahaan yang bergerak di bidang pengadaan barang dan jasa yang berlokasi di kawasan Sleman.Saat ini kami sedang...
nan"
Marketing,"Marketing
Responsibilities: Analyze the development of the market. Looking for new customers from various sources and through various media Achieve to the sales...
nan"
Marketing,"Marketing
Qualifications : Minimum education D3/Bachelor (not currently studying and have completed the study period) Maximum 30 years old Have a personal...
nan"
Marketing,"Marketing
Kualifikasi Pendidikan minimal SMA / Sederajat Memiliki kendaraan bermotor Jujur, disiplin dan loyalitas tinggi Sanggup bekerja dalam team Fasilitas :...
nan"
Marketing,"Marketing
Kami perusahaan yang bergerak dalam bidan pengelolaan limbah bahan berbahaya dan beracun (limbah B3), mencari individu yang luar biasa untuk bergabung...
nan"
Marketing,"Marketing
At least 1 - 2 Years of working experience, di marketing Perumahan Required Skill(s): Microsoft Office Preferably Manager/Assistant Manager...
Mendapatkan Insentif, Asuransi , Bonus"
Marketing,"Marketing
Ringkasan Pekerjaan Mempromosikan produk &amp; layanan kepada konsumen. Membangun dan memelihara hubungan terhadap konsumen dengan integritas tinggi,...
nan"
Marketing,"Marketing
Deskripsi Pekerjaan: Mampu mengidentifikasi calon pelanggan yang potensial. Memasarkan produk dan jasa kepada calon pelanggan, skala perusahaan...
nan"
Marketing,"Marketing
Tugas dan tanggung jawab: Marketing bertanggung jawab membuat merumuskan, menyusun, menetapkan konsep dan rencana umum perusahaan, mengarahkan dan...
nan"
Marketing,"Marketing
Job Descriptions: Contacting potential clients to establish rapport and arrange meetings. Planning and overseeing new marketing initiatives....
nan"
Marketing,"Marketing
Kriteria :1. Minimal S1 (Semua Jurusan)2. Memiliki Sim A / Sim C3. Memiliki selling skil4. Mampu bekerja dengan target5. Pengalaman min 2 Tahun...
nan"
Marketing,"Marketing
Kualifikasi : Usia Max 25 th Pendidikan D3/S1 Terampil dalam berkomunikasi Memahami IT Memiliki Pengalaman Kerja 1 th Berdomisili Bekasi Mampu...
nan"
Data Analyst,"Data Analyst
Tugas Tanggungjawab : Bertanggung jawab dalam menganalisa dan membuat laporan sales, distributor, sales forecast, budget marketing, produktivitas...
nan"
Data Analyst,"Data Analyst
Xendit provides payment infrastructure across Southeast Asia, with a focus on Indonesia and the Philippines. We process payments, power marketplaces,...
nan"
Data Analyst,"Data Analyst
Job Description: Creating data architecture for each of the projects Managing reporting requirement timely with accurate delivery Creating dashboard...
nan"
Data Analyst,"Data Analyst
Job Descriptions: Support daily data request from stakeholder Analyze user requirement need in data and provide accurate report and data Ensure the...
nan"
Data Analyst,"Data Analyst
Job Description: You will provide analytical data to support talent management activities in company using the latest data processing devices You will...
nan"
Data Analyst,"Data Analyst
Responsibilities: Monitoring of analysis/odds schedules Compilation and trading of sports products for a variety of markets and sports Delivering a...
nan"
Data Analyst,"Data Analyst
Benefits: Strategic office location. Comfortable working environment. Competitive salary. Private health insurance. Education allowance....
nan"
Data Analyst,"Data Analyst
Melakukan pengumpulan, pengolahan, dan penyajian data dalam bentuk visual atau lain untuk mendukung progress bisnis dan pengambilan keputusan...
nan"
Data Analyst,"Data Analyst
* HARAP MEMBACA DENGAN TELITI MENGENAI MANDARIN TRANSLATOR DAN KUALIFIKASI YANG KAMI BUTUHKAN. KAMI MENGHIMBAU KESERIUSAN KANDIDAT DALAM MELAMAR....
nan"
Data Analyst,"Data Analyst
Job Responsibility Define business issues with client and propose analytics subject to solve them. Extract data from several data sources with scratch...
Uniqueness: Experience real business transformation,Real Partner: Real People, Real Solutions and Real Results,Global network: International exposure"
Data Analyst,"Data Analyst
Mengerti dan memahami seluruh data, terutama yang berhubungan dengan bisnis dan customer. Menyiapkan dan Menyediakan data untuk keperluan analisa dan...
Insentif"
Data Analyst,"Data Analyst
Requirements: More than 3 years of working experience in data-related fields Strong experience with a mobile application data raw collections. Strong...
nan"
Data Analyst,"Data Analyst
Responsibilities: Produce data analysis results that can be used as a reference for making decisions for related divisions to improve the company's...
nan"
Data Analyst,"Data Analyst
Tugas dan Tanggung Jawab : Menafsirkan data, menganalisis hasil menggunakan teknik statistik dan memberikan laporan yang sedang berlangsung...
nan"
Data Analyst,"Data Analyst
Job Description: Actively communicate with users in translating their report requirements. Collect, process, analyze, and validate data from various...
nan"
Data Analyst,"Data Analyst
Life at  Grab:At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating...
nan"
Data Analyst,"Data Analyst
Persyaratan: Minimal pendidikan S1 Menguasai Microsoft Office (Excel, Word, Powerpoint)  Memiliki kemampuan analisa data yang baik Bisa...
nan"
Data Analyst,"Data Analyst
Jobdesc : Melakukan analisa terhadap stock barang berdasarkan hasil penjualan maupun inventory stock di Warehouse Menyajikan data kepada management...
nan"
Data Analyst,"Data Analyst
Kualifikasi: Usia maksimal 30 tahun Kandidat setidaknya memiliki pendidikan minimal S-1 segala jurusan (Diutamakan IT, Matematika, statistika)...
nan"
Data Analyst,"Data Analyst
Requirements: Minimum 6 years of total professional experience Minimum 4 years experience with hands on data analysis using large data sets Candidate...
nan"
Digital Marketing,"Digital Marketing
Set digital marketing strategies using all necessary tools (e.g. website, emails, social media and blogs) Research products, services and current...
nan"
Digital Marketing,"Digital Marketing
Qualifications : Minimum Bachelor's Degree in relevant field and have minimum 3 (three) year experience in Digital Marketing....
nan"
Digital Marketing,"Digital Marketing
As a Digital Marketer, you will commitment to and promotion of PT. Vista Maritim Indonesia values and ensuring the realization of Company’s project...
nan"
Digital Marketing,"Digital Marketing
Keuntungan Key Performance Compensation With Progressive Salary Health Inssurance Skill Challenges &amp; Trainings Deskripsi Pekerjaan Kualifikasi:...
nan"
Digital Marketing,"Digital Marketing
Kualifikasi: Memahami search engine marketing, SEO, google adwords dan google analytic Memahami social marketing (medsos friendly, influencer,...
nan"
Digital Marketing,"Digital Marketing
We are looking for young and energetic candidate between 20 to 25 year old to join our company as Digital MarketingJob description: Create, posting...
nan"
Digital Marketing,"Digital Marketing
KUALIFIKASI : Pendidikan : Diploma, Gelar Sarjana di Digital Marketing, Ilmu Komputer/Teknologi Informasi, Seni/Desain/Multimedia Kreatif atau setara....
nan"
Digital Marketing,"Digital Marketing
KUALIFIKASI : Pendidikan : Diploma, Gelar Sarjana di Digital Marketing, Ilmu Komputer/Teknologi Informasi, Seni/Desain/Multimedia Kreatif atau setara....
nan"
Digital Marketing,"Digital Marketing
Persyaratan : S1 Design/Multimedia/Public Relation Pengalaman minimal 2 tahun sebagai Digital Marketing Strategist atau di bidang yang sama Memiliki...
nan"
Digital Marketing,"Digital Marketing
Syarat Pekerjaan:• Usia 23-28 tahun• Pendidikan minimal SMA/SMK/D3/Gelar sarjana di bidang Pemasaran/ Manajemen atau bidang yang relevan.• Memahami...
nan"
Digital Marketing,"Digital Marketing
Syarat Pekerjaan Usia 23-38 thn Pendidikan minimal SMA/ sederajat Memahami teknik digital marketing Pengalaman bekerja minimal 2 tahun di bagian...
nan"
Digital Marketing,"Digital Marketing
Job Description :  1. Research on ways to more effectively penetrate the market through Ads  2. Create thorough Digital Marketing Strategies through...
nan"
Digital Marketing,"Digital Marketing
A scuba diving company in Sanur, Bali is looking for a talented and enthusiastic Digital Marketing (Full-time).Responsibilities: Manage and improve...
nan"
Digital Marketing,"Digital Marketing
Persyaratan / Kualifikasi : Pendidikan terakhir minimal Diploma 3 (D3) Pengalaman minimal 1 tahun dibidang Digital Marketing / Content Marketing,...
nan"
Digital Marketing,"Digital Marketing
JOB DESCRIPTION Responsible for all task on social media and online marketing Doing promotion through digital social and online media Responsible to...
nan"
Digital Marketing,"Digital Marketing
Tanggung Jawab Pekerjaan:• Bertanggung jawab terhadap marketing plan online• Melakukan promosi yang dibutuhkan perusahaan melalui dunia digital...
nan"
Digital Marketing,"Digital Marketing
Deskripsi Pekerjaan : Membuat dan mengelola artikel dengan menggunkan teknik SEO (Search Engine Optimization). Membuat dan mengelola Caption Content...
nan"
Digital Marketing,"Digital Marketing
Kualifikasi : Usia 20-35 tahun Pendidikan minimal SMA / Sederajat (sedang kuliah diperbolehkan) Diutamakan domisili Sidoarjo Target Oriented...
nan"
Digital Marketing,"Digital Marketing
Pengalaman Digital Marketing Minimun 1 Tahun Pengalaman Posisi (Pemasaran ) Minimum 1 Tahun  Pendidikan S1 Management Pemasar Berkelakuan Baik, Jujur...
nan"
Digital Marketing,"Digital Marketing
Responsibilities : Planning branding and marketing campaign activities to increase awareness of the public towards the company. Accountable for all...
nan"
Sales,"Sales
Kualifikasi : Berpengalaman di bidang alkes / farmasi minimal 2 th Minimal pendidikan D3 / S1 segala jurusan Memiliki kendaraan pribadi minimal roda...
Terdapat level career sampai jenjang Manager,Status karyawan Full Time,Insentif dan Bonus"
Sales,"Sales
Tugas dan Tanggungjawab : Bertanggungjawab untuk penjualan dan meningkatkan tingkat penjualan sesuai dengan target. Mampu melayani dan memaintain...
nan"
Sales,"Sales
Berpenampilan rapi,jujur dan disiplinMemahami alur proses industri Kelapa sawit &amp; boiler, memiliki integeritas, loyalitas dan komitmen, Dapat...
nan"
Sales,"Sales
Tugas dan Tanggung Jawab:1. Pencapaian Target Penjualan2. Pertumbuhan pasar.3. Sasaran tagihan (Collection)4. Kunjungan (Visit)    Kualifikasi:...
nan"
Sales,"Sales
Tugas dan Tanggung Jawab:Melakukan penjualan Air Conditioner baik dalam sekala retail maupun projectPersyaratan:Pengalaman kerja minimal 2...
Pengembangan karir,Gaji dan bonus"
Sales,"Sales
Usia max. 28 Tahun. Pendidikan S-1 Manajemen (lebih diutamakan jurusan Bisnis). Memiliki pengalaman kerja min. 1 Tahun. Terbiasa bekerja dengan...
Bonus untuk setiap Hasil yang dicapai,Status Karyawan Tetap setelah Lulus Training,Mendapatkan BPJS Kesehatan dan BPJS Ketenegakerjaan"
Sales,"Sales
Kandidat harus memiliki pendidikan mininal Diploma di bidang apapun.Minimal 1 Tahun pengalaman kerja di bidang terkait diperlukan untuk posisi...
Attractive commission and bonuses,BPJS Ketenagakerjaan and BPJS Kesehatan"
Sales,"Sales
SALESKUALIFIKASI : Pendidikan min D3 semua jurusan  Berpengalaman sebagai Sales di bidang kesehatan Terbiasa dengan target Memiliki kemampuan...
Pengembangan Karir,Budaya Kerja"
Sales,"Sales
Kualifikasi: Maximum 30 tahun Minimal D3 sederajat Pengalaman minimal 5 tahun sebagai sales keluar kota/ canvas Pengalaman menguasai penjualan...
nan"
Sales,"Sales
Bahasa : Indonesia , Inggris (Min. Pasif) Pengalaman Min. 1 Tahun di jabatan yang sama Memiliki hubungan yang baik dengan Customer R1 dan Distributor...
nan"
Sales,"Sales
Memasarkan alat rumah tangga stainless steel brand KOMODO Menjaga hubungan baik dengan pelanggan Monitoring penjualan pelanggan Syarat Umur 21- 45...
nan"
Sales,"Sales
Persyaratan:- Fresh Graduated / Pengalaman- Usia max. 35 tahun- SMA / Sederajat- Sales untuk area jawa barat- Diutamakan mempunyai Kendaraan...
nan"
Sales,"Sales
Dibutuhkan SalesPersyaratan :1. Lulusan min. SMA/SMU2. Berpengalaman min. 2 tahun di bidang penjualan produk di pasar-pasar.3. Siap ditugaskan keluar...
nan"
Sales,"Sales
Usia maksimal 45 tahun Pendidikan minimal SMA sederajat. Jujur, Tekun dan Disiplin Siap bekerja sesuai dengan target Mampu bekerja baik secara...
nan"
Sales,"Sales
TUGAS : Cari Order Membuat Penawaran untuk Customer (Quotation) Follow Up penawaran ke Customer Follow Up Pembayaran dari Customer yang sudah jatuh...
Cakupan lingkungan kerja yang luas"
Sales,"Sales
Syarat : Umur maksimal 35 tahun dan minimal pendidikan SMA/sederajat. Pengalaman sebagai salesman untuk produk minyak pelumas minimal 1 (satu) tahun....
nan"
Sales,"Sales
Tugas dan Tanggung-jawab: Melakukan promosi dan mengimplementasikan strategi penjualan Meningkatkan produktivitas B2B perusahaan Melakukan akuisisi...
Jenjang karir,Kerja dari Rumah,ESOP"
